seed,asset-count,random-mean-score,ga-mean-score,initial-dsl-mean-score,final-dsl-mean-score,final-minus-random,final-minus-ga,final-minus-initial,random-mean-gap,ga-mean-gap,initial-dsl-mean-gap,final-dsl-mean-gap,random-mean-runtime-ms,ga-mean-runtime-ms,initial-dsl-mean-runtime-ms,final-dsl-mean-runtime-ms
1,50,0.7344599195424485,0.8955106581647785,0.9966879184774353,0.9966879184774353,0.26222799893498683,0.10117726031265684,0.0,0.26554008045755156,0.10448934183522156,0.003312081522564855,0.003312081522564855,11.5581271,13.768851400000003,14.107858700000003,12.581251900000002
1,100,0.7052238838400264,0.8716159955011802,0.9982054274679871,0.9982054274679871,0.2929815436279607,0.12658943196680694,0.0,0.2947761161599736,0.12838400449881973,0.0017945725320128985,0.0017945725320128985,20.5928436,25.412815799999997,28.842810499999995,31.707559800000002
1,250,0.6381757886346004,0.8168714925834412,0.9993273682679256,0.9993273682679256,0.3611515796333251,0.1824558756844844,0.0,0.3618242113653995,0.18312850741655887,6.726317320745617E-4,6.726317320745617E-4,56.278561100000005,67.70976420000001,89.63362409999999,116.90820299999999
1,500,0.6023013880713424,0.7914732631047314,0.9996746779764404,0.9996746779764404,0.397373289905098,0.20820141487170896,0.0,0.39769861192865763,0.20852673689526863,3.253220235596878E-4,3.253220235596878E-4,113.078422,137.8189527,222.0885024,384.7414655
2,50,0.738846292650549,0.9053640049903665,0.9966879184774353,0.9978275050200811,0.2589812123695321,0.0924635000297146,0.0011395865426457874,0.2611537073494511,0.09463599500963349,0.003312081522564855,0.002172494979918899,9.1629369,11.3089545,21.153251700000002,7.984303999999999
2,100,0.689963906649169,0.8788499812253671,0.9983532627372584,0.9982054274679871,0.30824152081881817,0.11935544624262007,-1.4783526927131252E-4,0.31003609335083104,0.12115001877463301,0.0016467372627415149,0.0017945725320128985,18.9565558,23.4739461,39.20826089999999,16.8952031
2,250,0.6318925826943258,0.8163252194971303,0.999441768858282,0.9993273682679256,0.36743478557359976,0.18300214877079524,-1.1440059035638939E-4,0.3681074173056743,0.18367478050286973,5.582311417180656E-4,6.726317320745617E-4,70.3877086,80.48930560000001,123.71513890000001,73.00318390000001
2,500,0.6005982753732452,0.7943824755874882,0.999767758514259,0.9996746779764404,0.3990764026031952,0.20529220238895218,-9.308053781864611E-5,0.39940172462675483,0.20561752441251185,2.3224148574115178E-4,3.253220235596878E-4,120.26147970000002,158.05365360000002,267.24836089999997,167.422934
3,50,0.7746445971810468,0.9127481033584866,0.9966879184774353,0.9966879184774353,0.22204332129638849,0.08393981511894877,0.0,0.22535540281895328,0.08725189664151353,0.003312081522564855,0.003312081522564855,9.0880782,11.2547654,46.65055460000001,10.359392699999999
3,100,0.6981557615941604,0.8717566062091426,0.9982054274679871,0.9982054274679871,0.30004966587382675,0.1264488212588445,0.0,0.3018442384058397,0.12824339379085725,0.0017945725320128985,0.0017945725320128985,19.168338900000002,23.501864400000002,109.1096159,25.4043705
3,250,0.6457115958031119,0.8214131103473269,0.9993273682679256,0.9993273682679256,0.3536157724648137,0.17791425792059867,0.0,0.35428840419688806,0.178586889652673,6.726317320745617E-4,6.726317320745617E-4,52.99766520000001,64.5012587,333.9376774,104.4512015
3,500,0.5999924818764095,0.789161715823109,0.9996746779764404,0.9996746779764404,0.39968219610003086,0.21051296215333137,0.0,0.4000075181235906,0.21083828417689104,3.253220235596878E-4,3.253220235596878E-4,118.81566520000001,146.52406130000003,754.6262478000001,370.6960153
4,50,0.7477436049416057,0.8941752137936587,0.9966879184774353,0.9966879184774353,0.24894431353582958,0.1025127046837766,0.0,0.25225639505839426,0.10582478620634128,0.003312081522564855,0.003312081522564855,9.145419199999997,11.4390941,20.6073037,10.675734900000002
4,100,0.6886672314202175,0.8668284823382765,0.9982054274679871,0.9982054274679871,0.30953819604776966,0.13137694512971065,0.0,0.31133276857978254,0.1331715176617234,0.0017945725320128985,0.0017945725320128985,18.6468939,23.089953599999998,36.0100881,25.7023255
4,250,0.6428035864442277,0.8184994610465919,0.9993273682679256,0.9993273682679256,0.3565237818236978,0.18082790722133368,0.0,0.35719641355577236,0.18150053895340815,6.726317320745617E-4,6.726317320745617E-4,51.2447997,62.9397848,86.5654456,103.9240745
4,500,0.6076684795480042,0.7917956371044843,0.9996746779764404,0.9996746779764404,0.3920061984284362,0.20787904087195608,0.0,0.39233152045199576,0.2082043628955157,3.253220235596878E-4,3.253220235596878E-4,115.98822100000002,137.5304044,172.5534452,358.5233241
5,50,0.7597017577074601,0.9097242492089895,0.9966879184774353,0.9966879184774353,0.23698616076997525,0.08696366926844579,0.0,0.24029824229253988,0.09027575079101044,0.003312081522564855,0.003312081522564855,11.7489796,14.1204884,107.54758389999999,15.445355000000001
5,100,0.69560854583361,0.8692786902970233,0.9982054274679871,0.9983955013856217,0.30278695555201174,0.1291168110885984,1.9007391763459225E-4,0.3043914541663899,0.13072130970297657,0.0017945725320128985,0.0016044986143782624,22.4518191,27.8268778,284.3867193,29.411664099999996
5,250,0.6391321659085787,0.8149687993769449,0.9993273682679256,0.9993273682679256,0.3601952023593469,0.18435856889098068,0.0,0.3608678340914214,0.18503120062305523,6.726317320745617E-4,6.726317320745617E-4,61.91908010000001,78.74501849999999,889.3660624,85.48252310000001
5,500,0.6080112473106902,0.7897042557910395,0.9996746779764404,0.9996746779764404,0.39166343066575016,0.20997042218540085,0.0,0.39198875268930977,0.2102957442089605,3.253220235596878E-4,3.253220235596878E-4,143.57255229999998,172.86991629999997,2234.0089395000005,193.55247369999998
6,50,0.7362425146329538,0.9024480721871043,0.9966879184774353,0.9966879184774353,0.26044540384448156,0.094239846290331,0.0,0.2637574853670462,0.09755192781289558,0.003312081522564855,0.003312081522564855,9.3926029,11.7493637,9.130039400000001,13.923262099999997
6,100,0.7085010202713187,0.8809274783134626,0.9982054274679871,0.9982054274679871,0.28970440719666846,0.1172779491545245,0.0,0.29149897972868144,0.11907252168653744,0.0017945725320128985,0.0017945725320128985,19.723786299999997,24.408501299999998,18.6706286,29.417642900000004
6,250,0.633518500094513,0.8238449583485753,0.9993273682679256,0.9993273682679256,0.3658088681734125,0.17548240991935027,0.0,0.36648149990548695,0.17615504165142476,6.726317320745617E-4,6.726317320745617E-4,53.8363161,66.36178140000001,56.9923084,78.8131587
6,500,0.6040460640368229,0.7903736403873518,0.9996746779764404,0.9996746779764404,0.39562861393961746,0.20930103758908858,0.0,0.3959539359631772,0.20962635961264814,3.253220235596878E-4,3.253220235596878E-4,120.1680449,149.312511,136.33466549999997,177.2214098
7,50,0.7505608263991479,0.8884276076708799,0.9966879184774353,0.9966879184774353,0.24612709207828742,0.1082603108065554,0.0,0.2494391736008521,0.11157239232912002,0.003312081522564855,0.003312081522564855,11.175845400000004,13.6394396,16.084473000000003,9.8994865
7,100,0.7138356551396086,0.8646575734576027,0.9982054274679871,0.9982054274679871,0.28436977232837857,0.13354785401038438,0.0,0.28616434486039133,0.1353424265423973,0.0017945725320128985,0.0017945725320128985,23.2704794,28.256136200000004,33.644309,20.244056500000006
7,250,0.6413873518636757,0.811575248723883,0.9993273682679256,0.999379633076288,0.3579922812126123,0.18780438435240498,5.2264808362401105E-5,0.35861264813632426,0.18842475127611708,6.726317320745617E-4,6.203669237121924E-4,58.93360789999999,71.3688848,93.50585699999999,56.3163902
7,500,0.6067732567141761,0.7970302720166852,0.9996746779764404,0.9996746779764404,0.39290142126226424,0.2026444059597552,0.0,0.39322674328582385,0.20296972798331486,3.253220235596878E-4,3.253220235596878E-4,130.44803309999998,158.94320840000003,191.75499429999996,155.457501
8,50,0.7364230400225025,0.8974960179107075,0.9966879184774353,0.9966879184774353,0.26026487845493285,0.09919190056672778,0.0,0.2635769599774975,0.10250398208929246,0.003312081522564855,0.003312081522564855,9.2055473,11.6099279,11.573406499999999,10.4977554
8,100,0.7051230045644077,0.8697825420953151,0.9982054274679871,0.9982054274679871,0.29308242290357944,0.128422885372672,0.0,0.29487699543559226,0.13021745790468492,0.0017945725320128985,0.0017945725320128985,18.7339189,22.7896557,27.691867600000002,24.9245787
8,250,0.6374812106020287,0.8196463344585008,0.9993273682679256,0.9993273682679256,0.3618461576658969,0.1796810338094248,0.0,0.3625187893979714,0.18035366554149931,6.726317320745617E-4,6.726317320745617E-4,51.581108199999996,63.706508400000004,110.56981370000001,104.19357070000001
8,500,0.6025235332364177,0.7926094901647682,0.9996746779764404,0.9996746779764404,0.39715114474002267,0.20706518781167216,0.0,0.3974764667635823,0.20739050983523177,3.253220235596878E-4,3.253220235596878E-4,121.34832350000002,144.81661179999998,367.32384949999994,377.05094779999996
9,50,0.7417943556525632,0.8983166073499452,0.9966879184774353,0.9966879184774353,0.2548935628248721,0.09837131112749009,0.0,0.25820564434743676,0.10168339265005485,0.003312081522564855,0.003312081522564855,10.103269800000001,12.193146000000002,13.8926285,11.3055351
9,100,0.7167967831685685,0.8544571100590398,0.9983532627372584,0.9982054274679871,0.2814086442994186,0.14374831740894733,-1.4783526927131252E-4,0.28320321683143146,0.14554288994096018,0.0016467372627415149,0.0017945725320128985,18.9366312,23.2053034,31.516631,25.9323375
9,250,0.6371907474042329,0.8157657467006565,0.999441768858282,0.9993273682679256,0.3621366208636927,0.18356162156726907,-1.1440059035638939E-4,0.3628092525957671,0.18423425329934345,5.582311417180656E-4,6.726317320745617E-4,51.4550095,63.8336264,100.546538,105.24125029999998
9,500,0.6066904641559662,0.7891234832100871,0.999767758514259,0.9996746779764404,0.3929842138204742,0.2105511947663533,-9.308053781864611E-5,0.39330953584403383,0.21087651678991293,2.3224148574115178E-4,3.253220235596878E-4,114.80554079999999,137.32377219999998,265.1095693,362.2390538000001
10,50,0.7544483254291041,0.9125554501397858,0.9966879184774353,0.9966879184774353,0.2422395930483312,0.08413246833764954,0.0,0.24555167457089588,0.08744454986021441,0.003312081522564855,0.003312081522564855,9.4593032,11.8778942,44.5511451,8.4601377
10,100,0.704504042322532,0.8623188788565892,0.9982054274679871,0.9982054274679871,0.2937013851454551,0.13588654861139793,0.0,0.29549595767746784,0.13768112114341077,0.0017945725320128985,0.0017945725320128985,21.4187116,25.832273900000008,116.2447365,17.6289502
10,250,0.6369980340018664,0.8231254776912035,0.9993273682679256,0.9993273682679256,0.3623293342660592,0.1762018905767221,0.0,0.36300196599813367,0.17687452230879655,6.726317320745617E-4,6.726317320745617E-4,54.407527200000004,67.69002739999999,373.584434,52.442492
10,500,0.6091353770067887,0.7941841451756971,0.9996746779764404,0.9996746779764404,0.3905393009696517,0.20549053280074325,0.0,0.3908646229932113,0.20581585482430276,3.253220235596878E-4,3.253220235596878E-4,125.0336,144.7331743,917.4481166999998,136.20252899999997
11,50,0.7675925084343354,0.9010388972186936,0.9966879184774353,0.9966879184774353,0.22909541004309997,0.09564902125874175,0.0,0.2324074915656646,0.09896110278130633,0.003312081522564855,0.003312081522564855,9.278492,11.5552013,11.5122268,10.8488223
11,100,0.7126978845824079,0.8565761713059983,0.9982054274679871,0.9982054274679871,0.2855075428855792,0.14162925616198885,0.0,0.2873021154175921,0.14342382869400172,0.0017945725320128985,0.0017945725320128985,18.7456652,22.950398,28.465392499999997,25.5261659
11,250,0.6434602210013952,0.8127001738939945,0.9993273682679256,0.9993273682679256,0.35586714726653035,0.18662719437393105,0.0,0.3565397789986047,0.1872998261060054,6.726317320745617E-4,6.726317320745617E-4,54.6023956,67.4727464,112.91536059999999,111.4522768
11,500,0.603815334322074,0.7971071055785698,0.9996746779764404,0.9996746779764404,0.39585934365436637,0.2025675723978706,0.0,0.39618466567792593,0.20289289442143024,3.253220235596878E-4,3.253220235596878E-4,114.75995929999999,137.0510787,367.4332653,361.1566018
12,50,0.7516867998070033,0.9088266698484377,0.9966879184774353,0.997188881868572,0.24550208206156876,0.08836221202013428,5.009633911366995E-4,0.24831320019299669,0.09117333015156236,0.003312081522564855,0.002811118131428053,12.9101955,16.0190584,18.0355576,16.2413149
12,100,0.6950645748411455,0.864603426389672,0.9982054274679871,0.9982054274679871,0.30314085262684165,0.1336020010783151,0.0,0.3049354251588546,0.13539657361032803,0.0017945725320128985,0.0017945725320128985,20.6161502,25.731280400000003,39.43977099999999,26.7390722
12,250,0.6334570071633097,0.8146167138895356,0.9993273682679256,0.9993273682679256,0.3658703611046159,0.18471065437838996,0.0,0.3665429928366903,0.18538328611046442,6.726317320745617E-4,6.726317320745617E-4,55.1566423,68.33269179999999,114.23661190000003,70.232246
12,500,0.5999409651133244,0.7928148902425873,0.9996746779764404,0.9996746779764404,0.399733712863116,0.20685978773385305,0.0,0.4000590348866755,0.20718510975741272,3.253220235596878E-4,3.253220235596878E-4,110.9371284,136.74125759999998,263.72164680000003,143.45945339999997
13,50,0.7353364631644862,0.9001738198642277,0.9966879184774353,0.9966879184774353,0.2613514553129491,0.09651409861320759,0.0,0.26466353683551386,0.0998261801357723,0.003312081522564855,0.003312081522564855,8.8711475,10.8837941,12.782774999999999,10.267632100000002
