asset-count,random-score-mean,random-score-ci95-lower,random-score-ci95-upper,ga-score-mean,ga-score-ci95-lower,ga-score-ci95-upper,final-dsl-score-mean,final-dsl-score-ci95-lower,final-dsl-score-ci95-upper,final-minus-random-mean,final-minus-random-ci95-lower,final-minus-random-ci95-upper,final-minus-ga-mean,final-minus-ga-ci95-lower,final-minus-ga-ci95-upper,final-minus-initial-mean,final-minus-initial-ci95-lower,final-minus-initial-ci95-upper
50,0.7481323054905129,0.7443819549564282,0.7518826560245976,0.9028778159477546,0.9000760258323206,0.9056796060631886,0.9968268332913617,0.9966968755301169,0.9969567910526065,0.2486945278008492,0.24493848644498015,0.2524505691567182,0.09394901734360721,0.09115506937276095,0.09674296531445346,0.0023042054993743974,-0.0017859085973411398,0.006394319596089935
100,0.7031194412799855,0.6995529982210043,0.7066858843389667,0.8664100420139321,0.864099170817328,0.8687209132105362,0.9982174323424478,0.9982012962239873,0.9982335684609082,0.2950979910624624,0.29152850977289124,0.2986674723520335,0.13180739032851585,0.12949665847851152,0.13411812217852018,0.004283213985266876,-0.003340868310459633,0.011907296280993386
250,0.637872412482439,0.635902894118904,0.639841930845974,0.8166026431775663,0.8150211254429733,0.8181841609121592,0.9993338684309168,0.9993268286162345,0.9993409082455991,0.3614614559484774,0.35949263519594726,0.3634302767010075,0.18273122525335006,0.18114787161494234,0.18431457889175779,0.006731486661625467,-0.005779746217537215,0.01924271954078815
500,0.6045684315127637,0.603218531763575,0.6059183312619525,0.7922214011510161,0.7907684158667831,0.7936743864352491,0.9996756835501919,0.9996741202925997,0.999677246807784,0.3951072520374285,0.3937575876976815,0.39645691637717556,0.2074542823991757,0.20600080511523092,0.2089077596831205,0.0076698775540155065,-0.006731380051633182,0.022071135159664194
