asset-count,seed-count,full-score-mean,full-score-ci95-lower,full-score-ci95-upper,no-greedy-score-mean,no-greedy-score-ci95-lower,no-greedy-score-ci95-upper,simple-body-score-mean,simple-body-score-ci95-lower,simple-body-score-ci95-upper,full-minus-no-greedy-mean,full-minus-no-greedy-ci95-lower,full-minus-no-greedy-ci95-upper,full-minus-simple-body-mean,full-minus-simple-body-ci95-lower,full-minus-simple-body-ci95-upper
50,2,0.9972577117487582,0.9900178017860347,1.0044976217114816,0.7007686407083316,0.5577517995237065,0.8437854818929567,0.9966879184774353,0.9966879184774353,0.9966879184774353,0.2964890710404267,0.14623231989307814,0.44674582218777525,5.697932713228937E-4,-0.006670116691400559,0.007809703234046346
100,2,0.9982054274679871,0.9982054274679871,0.9982054274679871,0.6520802311542859,0.562709509359566,0.7414509529490059,0.9982054274679871,0.9982054274679871,0.9982054274679871,0.3461251963137012,0.25675447451898126,0.43549591810842114,0.0,0.0,0.0
250,2,0.9993273682679256,0.9993273682679256,0.9993273682679256,0.5975875174648975,0.5185193631441862,0.6766556717856087,0.9993273682679256,0.9993273682679256,0.9993273682679256,0.40173985080302815,0.32267169648231686,0.48080800512373945,0.0,0.0,0.0
500,2,0.9996746779764404,0.9996746779764404,0.9996746779764404,0.5743023143266999,0.5643808667834159,0.5842237618699838,0.9996746779764404,0.9996746779764404,0.9996746779764404,0.4253723636497405,0.41545091610645657,0.43529381119302446,0.0,0.0,0.0
