seed,asset-count,random-score,ga-score,greedy-score,evolved-score,greedy-minus-random,greedy-minus-ga,evolved-minus-greedy
1,50,0.7344599195424485,0.8955106581647785,0.9966879184774353,0.9966879184774353,0.26222799893498683,0.10117726031265684,0.0
1,100,0.7052238838400264,0.8716159955011802,0.9982054274679871,0.9982054274679871,0.2929815436279607,0.12658943196680694,0.0
1,250,0.6381757886346004,0.8168714925834412,0.9993273682679256,0.9993273682679256,0.3611515796333251,0.1824558756844844,0.0
1,500,0.6023013880713424,0.7914732631047314,0.9996746779764404,0.9996746779764404,0.397373289905098,0.20820141487170896,0.0
2,50,0.738846292650549,0.9053640049903665,0.9966879184774353,0.9978275050200811,0.2578416258268863,0.09132391348706881,0.0011395865426457874
2,100,0.689963906649169,0.8788499812253671,0.9982054274679871,0.9982054274679871,0.30824152081881817,0.11935544624262007,0.0
2,250,0.6318925826943258,0.8163252194971303,0.9993273682679256,0.9993273682679256,0.36743478557359976,0.18300214877079524,0.0
2,500,0.6005982753732452,0.7943824755874882,0.9996746779764404,0.9996746779764404,0.3990764026031952,0.20529220238895218,0.0
3,50,0.7746445971810468,0.9127481033584866,0.9966879184774353,0.9966879184774353,0.22204332129638849,0.08393981511894877,0.0
3,100,0.6981557615941604,0.8717566062091426,0.9982054274679871,0.9982054274679871,0.30004966587382675,0.1264488212588445,0.0
3,250,0.6457115958031119,0.8214131103473269,0.9993273682679256,0.9993273682679256,0.3536157724648137,0.17791425792059867,0.0
3,500,0.5999924818764095,0.789161715823109,0.9996746779764404,0.9996746779764404,0.39968219610003086,0.21051296215333137,0.0
4,50,0.7477436049416057,0.8941752137936587,0.9966879184774353,0.9966879184774353,0.24894431353582958,0.1025127046837766,0.0
4,100,0.6886672314202175,0.8668284823382765,0.9982054274679871,0.9982054274679871,0.30953819604776966,0.13137694512971065,0.0
4,250,0.6428035864442277,0.8184994610465919,0.9993273682679256,0.9993273682679256,0.3565237818236978,0.18082790722133368,0.0
4,500,0.6076684795480042,0.7917956371044843,0.9996746779764404,0.9996746779764404,0.3920061984284362,0.20787904087195608,0.0
5,50,0.7597017577074601,0.9097242492089895,0.9966879184774353,0.9966879184774353,0.23698616076997525,0.08696366926844579,0.0
5,100,0.69560854583361,0.8692786902970233,0.9982054274679871,0.9983955013856217,0.30259688163437715,0.1289267371709638,1.9007391763459225E-4
5,250,0.6391321659085787,0.8149687993769449,0.9993273682679256,0.9993273682679256,0.3601952023593469,0.18435856889098068,0.0
5,500,0.6080112473106902,0.7897042557910395,0.9996746779764404,0.9996746779764404,0.39166343066575016,0.20997042218540085,0.0
6,50,0.7362425146329538,0.9024480721871043,0.9966879184774353,0.9966879184774353,0.26044540384448156,0.094239846290331,0.0
6,100,0.7085010202713187,0.8809274783134626,0.9982054274679871,0.9982054274679871,0.28970440719666846,0.1172779491545245,0.0
6,250,0.633518500094513,0.8238449583485753,0.9993273682679256,0.9993273682679256,0.3658088681734125,0.17548240991935027,0.0
6,500,0.6040460640368229,0.7903736403873518,0.9996746779764404,0.9996746779764404,0.39562861393961746,0.20930103758908858,0.0
7,50,0.7505608263991479,0.8884276076708799,0.9966879184774353,0.9966879184774353,0.24612709207828742,0.1082603108065554,0.0
7,100,0.7138356551396086,0.8646575734576027,0.9982054274679871,0.9982054274679871,0.28436977232837857,0.13354785401038438,0.0
7,250,0.6413873518636757,0.811575248723883,0.9993273682679256,0.999379633076288,0.3579400164042499,0.18775211954404258,5.2264808362401105E-5
7,500,0.6067732567141761,0.7970302720166852,0.9996746779764404,0.9996746779764404,0.39290142126226424,0.2026444059597552,0.0
8,50,0.7364230400225025,0.8974960179107075,0.9966879184774353,0.9966879184774353,0.26026487845493285,0.09919190056672778,0.0
8,100,0.7051230045644077,0.8697825420953151,0.9982054274679871,0.9982054274679871,0.29308242290357944,0.128422885372672,0.0
8,250,0.6374812106020287,0.8196463344585008,0.9993273682679256,0.9993273682679256,0.3618461576658969,0.1796810338094248,0.0
8,500,0.6025235332364177,0.7926094901647682,0.9996746779764404,0.9996746779764404,0.39715114474002267,0.20706518781167216,0.0
9,50,0.7417943556525632,0.8983166073499452,0.9966879184774353,0.9966879184774353,0.2548935628248721,0.09837131112749009,0.0
9,100,0.7167967831685685,0.8544571100590398,0.9982054274679871,0.9982054274679871,0.2814086442994186,0.14374831740894733,0.0
9,250,0.6371907474042329,0.8157657467006565,0.9993273682679256,0.9993273682679256,0.3621366208636927,0.18356162156726907,0.0
9,500,0.6066904641559662,0.7891234832100871,0.9996746779764404,0.9996746779764404,0.3929842138204742,0.2105511947663533,0.0
10,50,0.7544483254291041,0.9125554501397858,0.9966879184774353,0.9966879184774353,0.2422395930483312,0.08413246833764954,0.0
10,100,0.704504042322532,0.8623188788565892,0.9982054274679871,0.9982054274679871,0.2937013851454551,0.13588654861139793,0.0
10,250,0.6369980340018664,0.8231254776912035,0.9993273682679256,0.9993273682679256,0.3623293342660592,0.1762018905767221,0.0
10,500,0.6091353770067887,0.7941841451756971,0.9996746779764404,0.9996746779764404,0.3905393009696517,0.20549053280074325,0.0
11,50,0.7675925084343354,0.9010388972186936,0.9966879184774353,0.9966879184774353,0.22909541004309997,0.09564902125874175,0.0
11,100,0.7126978845824079,0.8565761713059983,0.9982054274679871,0.9982054274679871,0.2855075428855792,0.14162925616198885,0.0
11,250,0.6434602210013952,0.8127001738939945,0.9993273682679256,0.9993273682679256,0.35586714726653035,0.18662719437393105,0.0
11,500,0.603815334322074,0.7971071055785698,0.9996746779764404,0.9996746779764404,0.39585934365436637,0.2025675723978706,0.0
12,50,0.7516867998070033,0.9088266698484377,0.9966879184774353,0.997188881868572,0.24500111867043206,0.08786124862899758,5.009633911366995E-4
12,100,0.6950645748411455,0.864603426389672,0.9982054274679871,0.9982054274679871,0.30314085262684165,0.1336020010783151,0.0
