asset-count,seed-count,random-score-mean,random-score-ci95-lower,random-score-ci95-upper,ga-score-mean,ga-score-ci95-lower,ga-score-ci95-upper,greedy-score,greedy-instance-score-standard-deviation,greedy-mean-optimality-gap,greedy-mean-runtime-ms,greedy-fitness-evaluations-used,evolved-score-mean,evolved-score-ci95-lower,evolved-score-ci95-upper,greedy-minus-random-mean,greedy-minus-random-ci95-lower,greedy-minus-random-ci95-upper,greedy-minus-ga-mean,greedy-minus-ga-ci95-lower,greedy-minus-ga-ci95-upper,evolved-minus-greedy-mean,evolved-minus-greedy-ci95-lower,evolved-minus-greedy-ci95-upper
50,30,0.7481323054905129,0.7443819549564282,0.7518826560245976,0.9028778159477546,0.9000760258323206,0.9056796060631886,0.9966879184774353,0.0043947683821067025,0.003312081522564855,1.3668125000000002,1,0.9968268332913617,0.9966968755301169,0.9969567910526065,0.2485556129869227,0.24480526245283804,0.25230596352100737,0.09381010252968067,0.09100831241424664,0.09661189264511469,1.3891481392653467E-4,8.957052681759592E-6,2.6887257517130975E-4
100,30,0.7031194412799855,0.6995529982210043,0.7066858843389667,0.8664100420139321,0.864099170817328,0.8687209132105362,0.9982054274679871,0.0012820137292090046,0.0017945725320128985,1.173048,1,0.9982174323424478,0.9982012962239873,0.9982335684609082,0.2950859861880016,0.29151954312902034,0.2986524292469828,0.13179538545405495,0.12948451425745086,0.13410625665065903,1.2004874460869175E-5,-4.131243999570518E-6,2.8140992921308865E-5
250,30,0.637872412482439,0.635902894118904,0.639841930845974,0.8166026431775663,0.8150211254429733,0.8181841609121592,0.9993273682679256,5.673638933013245E-4,6.726317320745617E-4,1.4969928,1,0.9993338684309168,0.9993268286162345,0.9993409082455991,0.36145495578548664,0.35948543742195166,0.3634244741490216,0.1827247250903593,0.1811432073557664,0.18430624282495223,6.500162990722794E-6,-5.39651691593717E-7,1.3539977673039305E-5
500,30,0.6045684315127637,0.603218531763575,0.6059183312619525,0.7922214011510161,0.7907684158667831,0.7936743864352491,0.9996746779764404,2.1068777148205753E-4,3.253220235596878E-4,1.8126359,1,0.9996756835501919,0.9996741202925997,0.999677246807784,0.39510624646367687,0.39375634671448806,0.3964561462128657,0.20745327682542405,0.20600029154119104,0.20890626210965707,1.0055737516593647E-6,-5.576838404802162E-7,2.5688313437989458E-6
