seed,asset-count,random-mean-score,ga-mean-score,initial-dsl-mean-score,final-dsl-mean-score,final-minus-random,final-minus-ga,final-minus-initial,random-mean-gap,ga-mean-gap,initial-dsl-mean-gap,final-dsl-mean-gap,random-mean-runtime-ms,ga-mean-runtime-ms,initial-dsl-mean-runtime-ms,final-dsl-mean-runtime-ms
1,50,0.7344599195424485,0.8955106581647785,0.9966879184774353,0.9966879184774353,0.26222799893498683,0.10117726031265684,0.0,0.26554008045755156,0.10448934183522156,0.003312081522564855,0.003312081522564855,8.8366717,10.6747208,15.4837875,9.976207500000001
1,100,0.7052238838400264,0.8716159955011802,0.9982054274679871,0.9982054274679871,0.2929815436279607,0.12658943196680694,0.0,0.2947761161599736,0.12838400449881973,0.0017945725320128985,0.0017945725320128985,18.248164299999996,21.6960689,31.7580616,24.3263126
1,250,0.6381757886346004,0.8168714925834412,0.9993273682679256,0.9993273682679256,0.3611515796333251,0.1824558756844844,0.0,0.3618242113653995,0.18312850741655887,6.726317320745617E-4,6.726317320745617E-4,46.8029408,56.96878290000001,79.2045973,96.595339
1,500,0.6023013880713424,0.7914732631047314,0.9996746779764404,0.9996746779764404,0.397373289905098,0.20820141487170896,0.0,0.39769861192865763,0.20852673689526863,3.253220235596878E-4,3.253220235596878E-4,99.68002759999999,120.9885841,202.45933369999997,332.48082320000003
2,50,0.738846292650549,0.9053640049903665,0.9966879184774353,0.9978275050200811,0.2589812123695321,0.0924635000297146,0.0011395865426457874,0.2611537073494511,0.09463599500963349,0.003312081522564855,0.002172494979918899,9.234476899999999,11.4332088,14.8458799,8.241273600000001
2,100,0.689963906649169,0.8788499812253671,0.9983532627372584,0.9982054274679871,0.30824152081881817,0.11935544624262007,-1.4783526927131252E-4,0.31003609335083104,0.12115001877463301,0.0016467372627415149,0.0017945725320128985,18.6669331,23.119439700000004,29.6262455,17.0965662
2,250,0.6318925826943258,0.8163252194971303,0.999441768858282,0.9993273682679256,0.36743478557359976,0.18300214877079524,-1.1440059035638939E-4,0.3681074173056743,0.18367478050286973,5.582311417180656E-4,6.726317320745617E-4,50.430026100000006,60.74133919999999,91.4902978,53.874714
2,500,0.6005982753732452,0.7943824755874882,0.999767758514259,0.9996746779764404,0.3990764026031952,0.20529220238895218,-9.308053781864611E-5,0.39940172462675483,0.20561752441251185,2.3224148574115178E-4,3.253220235596878E-4,103.67748850000001,125.3798953,237.932529,145.89683789999998
