asset-count,seed-count,full-score-mean,full-score-ci95-lower,full-score-ci95-upper,no-greedy-score-mean,no-greedy-score-ci95-lower,no-greedy-score-ci95-upper,simple-body-score-mean,simple-body-score-ci95-lower,simple-body-score-ci95-upper,full-minus-no-greedy-mean,full-minus-no-greedy-ci95-lower,full-minus-no-greedy-ci95-upper,full-minus-simple-body-mean,full-minus-simple-body-ci95-lower,full-minus-simple-body-ci95-upper
50,30,0.9968268332913617,0.9966968755301169,0.9969567910526065,0.7507991481618475,0.7208700816934409,0.780728214630254,0.9966879184774349,0.9966879184774347,0.9966879184774351,0.2460276851295146,0.21614777801753068,0.2759075922414985,1.3891481392653467E-4,8.957052681759592E-6,2.6887257517130975E-4
100,30,0.9982174323424478,0.9982012962239873,0.9982335684609082,0.7099337935086002,0.6766226934521418,0.7432448935650586,0.9982054274679869,0.9982054274679868,0.998205427467987,0.2882836388338478,0.2549754486789972,0.32159182898869837,1.2004874460869175E-5,-4.131243999570518E-6,2.8140992921308865E-5
250,30,0.9993338684309168,0.9993268286162345,0.9993409082455991,0.66030860253754,0.6252348113259248,0.6953823937491551,0.9993273682679263,0.999327368267926,0.9993273682679267,0.3390252658933763,0.3039531357852805,0.37409739600147207,6.500162990722794E-6,-5.39651691593717E-7,1.3539977673039305E-5
500,30,0.9996756835501919,0.9996741202925997,0.999677246807784,0.6353643025333098,0.5991754326711785,0.6715531723954411,0.9996746779764402,0.99967467797644,0.9996746779764403,0.3643113810168824,0.3281224858932444,0.40050027614052036,1.0055737516593647E-6,-5.576838404802162E-7,2.5688313437989458E-6
