seed,asset-count,full-score,no-greedy-score,simple-body-score,full-minus-no-greedy,full-minus-simple-body,full-gap,no-greedy-gap,simple-body-gap,full-runtime-ms,no-greedy-runtime-ms,simple-body-runtime-ms
1,50,0.9966879184774353,0.7120243102142269,0.9966879184774353,0.28466360826320847,0.0,0.003312081522564855,0.28797568978577326,0.003312081522564855,25.3630901,11.0518658,10.064833199999999
1,100,0.9982054274679871,0.6450466028088934,0.9982054274679871,0.35315882465909376,0.0,0.0017945725320128985,0.3549533971911067,0.0017945725320128985,24.8639613,23.119349699999997,24.2215171
1,250,0.9993273682679256,0.6038103161654097,0.9993273682679256,0.39551705210251586,0.0,6.726317320745617E-4,0.39618968383459036,6.726317320745617E-4,104.474949,89.88927099999998,88.9926138
1,500,0.9996746779764404,0.5735214794708725,0.9996746779764404,0.4261531985055679,0.0,3.253220235596878E-4,0.42647852052912755,3.253220235596878E-4,294.0626232,336.20206690000003,297.77685140000006
2,50,0.9978275050200811,0.6895129712024362,0.9966879184774353,0.30831453381764495,0.0011395865426457874,0.002172494979918899,0.31048702879756385,0.003312081522564855,10.860532000000003,8.0505442,10.6510924
2,100,0.9982054274679871,0.6591138594996785,0.9982054274679871,0.33909156796830864,0.0,0.0017945725320128985,0.3408861405003215,0.0017945725320128985,17.441685400000004,17.602913199999996,25.802025899999997
2,250,0.9993273682679256,0.5913647187643851,0.9993273682679256,0.40796264950354044,0.0,6.726317320745617E-4,0.4086352812356148,6.726317320745617E-4,52.0513658,56.7120045,101.47528919999999
2,500,0.9996746779764404,0.5750831491825272,0.9996746779764404,0.42459152879391315,0.0,3.253220235596878E-4,0.4249168508174727,3.253220235596878E-4,161.488524,165.36826489999999,367.90855949999997
3,50,0.9966879184774353,0.7149897291476508,0.9966879184774353,0.2816981893297845,0.0,0.003312081522564855,0.28501027085234915,0.003312081522564855,11.0093014,10.2125792,9.89778
3,100,0.9982054274679871,0.6603814657701107,0.9982054274679871,0.33782396169787643,0.0,0.0017945725320128985,0.3396185342298893,0.0017945725320128985,25.3051933,25.297726599999997,23.8423375
3,250,0.9993273682679256,0.6005524487789795,0.9993273682679256,0.39877491948894606,0.0,6.726317320745617E-4,0.39944755122102044,6.726317320745617E-4,101.3716956,105.1728406,96.39047630000002
3,500,0.9996746779764404,0.5752690926085148,0.9996746779764404,0.4244055853679256,0.0,3.253220235596878E-4,0.4247309073914852,3.253220235596878E-4,335.2901193,362.9775147,355.50917080000005
4,50,0.9966879184774353,0.7105592335898754,0.9966879184774353,0.28612868488755994,0.0,0.003312081522564855,0.28944076641012456,0.003312081522564855,12.146429399999999,10.9108694,10.4375569
4,100,0.9982054274679871,0.6635836372325014,0.9982054274679871,0.33462179023548577,0.0,0.0017945725320128985,0.33641636276749864,0.0017945725320128985,27.105201400000006,27.330426,26.160305
4,250,0.9993273682679256,0.5996776037082038,0.9993273682679256,0.3996497645597218,0.0,6.726317320745617E-4,0.40032239629179633,6.726317320745617E-4,110.6064214,114.3612939,102.5539014
4,500,0.9996746779764404,0.5777913982250347,0.9996746779764404,0.4218832797514057,0.0,3.253220235596878E-4,0.42220860177496533,3.253220235596878E-4,356.13647000000003,380.6754737999999,343.38085639999997
5,50,0.9966879184774353,0.866719805202955,0.9966879184774353,0.12996811327448032,0.0,0.003312081522564855,0.13328019479704506,0.003312081522564855,12.841794299999998,11.023495,12.060576700000002
5,100,0.9983955013856217,0.8511020720308228,0.9982054274679871,0.14729342935479894,1.9007391763459225E-4,0.0016044986143782624,0.14889792796917722,0.0017945725320128985,24.5313949,22.412896300000003,24.4744269
5,250,0.9993273682679256,0.7998525320298928,0.9993273682679256,0.19947483623803275,0.0,6.726317320745617E-4,0.20014746797010718,6.726317320745617E-4,64.5149912,58.4951106,71.9392714
5,500,0.9996746779764404,0.7778234792190813,0.9996746779764404,0.22185119875735904,0.0,3.253220235596878E-4,0.2221765207809187,3.253220235596878E-4,131.58435939999998,116.88558010000001,147.1428921
6,50,0.9966879184774353,0.8794246880157823,0.9966879184774353,0.11726323046165299,0.0,0.003312081522564855,0.12057531198421775,0.003312081522564855,12.922378799999999,12.6397332,12.0375764
6,100,0.9982054274679871,0.8673993370915868,0.9982054274679871,0.13080609037640034,0.0,0.0017945725320128985,0.13260066290841327,0.0017945725320128985,26.081982399999998,26.220289100000002,24.9313426
6,250,0.9993273682679256,0.8133132953366227,0.9993273682679256,0.1860140729313029,0.0,6.726317320745617E-4,0.18668670466337736,6.726317320745617E-4,66.76703489999998,66.4676783,66.92035940000001
6,500,0.9996746779764404,0.7901421183252014,0.9996746779764404,0.20953255965123896,0.0,3.253220235596878E-4,0.20985788167479855,3.253220235596878E-4,152.0594869,140.9356759,145.7245081
7,50,0.9966879184774353,0.6786185913146282,0.9966879184774353,0.3180693271628071,0.0,0.003312081522564855,0.3213814086853718,0.003312081522564855,8.1764165,8.0189013,10.4914626
7,100,0.9982054274679871,0.6409160639975318,0.9982054274679871,0.35728936347045537,0.0,0.0017945725320128985,0.3590839360024683,0.0017945725320128985,16.0817914,17.4990575,27.1774828
7,250,0.999379633076288,0.5935324715592768,0.9993273682679256,0.40584716151701117,5.2264808362401105E-5,6.203669237121924E-4,0.40646752844072315,6.726317320745617E-4,48.943329899999995,56.019681000000006,109.48831269999998
7,500,0.9996746779764404,0.5686706197515522,0.9996746779764404,0.4310040582248882,0.0,3.253220235596878E-4,0.43132938024844786,3.253220235596878E-4,129.368851,160.0176712,337.87739110000007
8,50,0.9966879184774353,0.7194539458186923,0.9966879184774353,0.27723397265874306,0.0,0.003312081522564855,0.2805460541813078,0.003312081522564855,11.3844104,10.356872300000001,10.0165741
8,100,0.9982054274679871,0.6467778680057901,0.9982054274679871,0.35142755946219706,0.0,0.0017945725320128985,0.3532221319942098,0.0017945725320128985,25.319761899999996,27.6244909,24.2928428
8,250,0.9993273682679256,0.6017157370222432,0.9993273682679256,0.39761163124568233,0.0,6.726317320745617E-4,0.3982842629777568,6.726317320745617E-4,101.2537216,115.98667250000001,97.40207410000001
8,500,0.9996746779764404,0.5734714812389612,0.9996746779764404,0.4262031967374792,0.0,3.253220235596878E-4,0.4265285187610388,3.253220235596878E-4,325.1438612,380.8504162,324.2871176
9,50,0.9966879184774353,0.690823698497038,0.9966879184774353,0.30586421998039737,0.0,0.003312081522564855,0.30917630150296194,0.003312081522564855,10.762289499999998,10.3463871,10.7156545
9,100,0.9982054274679871,0.6587856762672818,0.9982054274679871,0.33941975120070533,0.0,0.0017945725320128985,0.3412143237327182,0.0017945725320128985,26.2883838,28.514024,26.351777699999996
9,250,0.9993273682679256,0.6071412319868849,0.9993273682679256,0.3921861362810407,0.0,6.726317320745617E-4,0.39285876801311503,6.726317320745617E-4,99.526963,114.6239854,107.50293599999998
9,500,0.9996746779764404,0.5778168702432194,0.9996746779764404,0.421857807733221,0.0,3.253220235596878E-4,0.4221831297567806,3.253220235596878E-4,348.7348403000001,380.1222407,371.6707866
10,50,0.9966879184774353,0.6714063745255917,0.9966879184774353,0.3252815439518436,0.0,0.003312081522564855,0.32859362547440835,0.003312081522564855,7.793029899999999,8.434400100000001,10.6826199
10,100,0.9982054274679871,0.6328953598384803,0.9982054274679871,0.3653100676295068,0.0,0.0017945725320128985,0.3671046401615198,0.0017945725320128985,15.163482400000001,17.8743188,25.814590200000005
10,250,0.9993273682679256,0.5981241224552087,0.9993273682679256,0.4012032458127168,0.0,6.726317320745617E-4,0.4018758775447913,6.726317320745617E-4,45.82934050000001,58.0641381,106.11397080000002
10,500,0.9996746779764404,0.5675216373542166,0.9996746779764404,0.4321530406222238,0.0,3.253220235596878E-4,0.4324783626457833,3.253220235596878E-4,122.55116389999998,169.4304891,353.6936272
11,50,0.9966879184774353,0.7212153852114895,0.9966879184774353,0.2754725332659458,0.0,0.003312081522564855,0.27878461478851047,0.003312081522564855,9.965122599999999,10.109239599999999,10.7890118
11,100,0.9982054274679871,0.6599622013271751,0.9982054274679871,0.33824322614081204,0.0,0.0017945725320128985,0.340037798672825,0.0017945725320128985,24.1733176,25.3589376,26.773263399999998
11,250,0.9993273682679256,0.6085303780678541,0.9993273682679256,0.3907969902000714,0.0,6.726317320745617E-4,0.39146962193214585,6.726317320745617E-4,99.0530998,105.9868755,106.71368199999999
11,500,0.9996746779764404,0.5761486655610117,0.9996746779764404,0.42352601241542864,0.0,3.253220235596878E-4,0.42385133443898815,3.253220235596878E-4,337.4280579,379.7710779,369.45318499999996
12,50,0.997188881868572,0.8785677939717786,0.9966879184774353,0.11862108789679338,5.009633911366995E-4,0.002811118131428053,0.12143220602822144,0.003312081522564855,11.0614567,10.3011752,12.5967917
12,100,0.9982054274679871,0.8414466693053788,0.9982054274679871,0.1567587581626083,0.0,0.0017945725320128985,0.15855333069462124,0.0017945725320128985,22.800086800000003,20.9592454,29.839999100000007
12,250,0.9993273682679256,0.7998397321325413,0.9993273682679256,0.19948763613538423,0.0,6.726317320745617E-4,0.2001602678674586,6.726317320745617E-4,62.03437540000001,55.5383743,69.29723820000001
12,500,0.9996746779764404,0.7766713097750129,0.9996746779764404,0.22300336820142752,0.0,3.253220235596878E-4,0.22332869022498708,3.253220235596878E-4,125.97597830000002,124.73494970000002,150.60822059999998
13,50,0.9966879184774353,0.7046650367530565,0.9966879184774353,0.29202288172437885,0.0,0.003312081522564855,0.2953349632469435,0.003312081522564855,10.506972199999998,10.712688499999999,10.639147399999999
13,100,0.9982054274679871,0.6447937273112958,0.9982054274679871,0.3534117001566913,0.0,0.0017945725320128985,0.3552062726887042,0.0017945725320128985,25.3321865,25.4592203,24.040267500000006
13,250,0.9993273682679256,0.6110557667519796,0.9993273682679256,0.388271601515946,0.0,6.726317320745617E-4,0.38894423324802047,6.726317320745617E-4,104.6527755,108.35270700000001,96.60740030000001
13,500,0.9996746779764404,0.5728914041209483,0.9996746779764404,0.4267832738554921,0.0,3.253220235596878E-4,0.42710859587905176,3.253220235596878E-4,353.56412579999994,392.3602844,338.89769369999993
14,50,0.9966879184774353,0.6995828895749064,0.9966879184774353,0.2971050289025289,0.0,0.003312081522564855,0.3004171104250936,0.003312081522564855,10.6854529,10.2052609,10.7898374
14,100,0.9982054274679871,0.6586014385730669,0.9982054274679871,0.3396039888949203,0.0,0.0017945725320128985,0.34139856142693314,0.0017945725320128985,25.9740518,25.5161924,26.874274400000008
14,250,0.9993273682679256,0.6080306497022059,0.9993273682679256,0.3912967185657197,0.0,6.726317320745617E-4,0.3919693502977942,6.726317320745617E-4,107.4372472,107.6013314,102.84684299999999
14,500,0.9996746779764404,0.571017515937233,0.9996746779764404,0.42865716203920734,0.0,3.253220235596878E-4,0.428982484062767,3.253220235596878E-4,358.2942486,394.2612566,352.053183
15,50,0.9966879184774353,0.6994712968653646,0.9966879184774353,0.29721662161207074,0.0,0.003312081522564855,0.3005287031346354,0.003312081522564855,10.9768741,10.8159293,10.5610324
15,100,0.9982054274679871,0.6706574941860975,0.9982054274679871,0.3275479332818896,0.0,0.0017945725320128985,0.32934250581390245,0.0017945725320128985,26.687604800000003,27.9010029,26.609772599999996
15,250,0.9993273682679256,0.596814611827004,0.9993273682679256,0.40251275644092155,0.0,6.726317320745617E-4,0.403185388172996,6.726317320745617E-4,106.1519303,112.20272200000002,106.59406039999999
15,500,0.9996746779764404,0.5791998735563311,0.9996746779764404,0.4204748044201093,0.0,3.253220235596878E-4,0.420800126443669,3.253220235596878E-4,357.51062590000004,407.1699404,351.6054667
16,50,0.9966879184774353,0.7088274782885263,0.9966879184774353,0.287860440188909,0.0,0.003312081522564855,0.2911725217114737,0.003312081522564855,10.120270600000001,10.3178403,10.690022299999999
16,100,0.9982054274679871,0.6510263023416508,0.9982054274679871,0.3471791251263363,0.0,0.0017945725320128985,0.3489736976583492,0.0017945725320128985,26.0487151,27.141762200000006,25.770741800000003
16,250,0.9993273682679256,0.6005313668131036,0.9993273682679256,0.39879600145482197,0.0,6.726317320745617E-4,0.3994686331868965,6.726317320745617E-4,107.5126827,108.72710070000001,105.9115586
16,500,0.9996746779764404,0.5805267463288,0.9996746779764404,0.4191479316476404,0.0,3.253220235596878E-4,0.41947325367120003,3.253220235596878E-4,357.19280570000006,383.37417690000007,359.970776
